Date,Destination,Min Price
2022-03-17,HYD,37.8
2022-03-17,CCU,35.65
2022-03-18,BOM,38.73
2022-03-18,BLR,35.34
2022-03-18,MAA,36.9
2022-03-18,HYD,37.8
2022-03-18,CCU,35.65
2022-03-19,BOM,38.73
2022-03-19,BLR,35.34
2022-03-19,MAA,36.9
2022-03-19,HYD,37.8
2022-03-19,CCU,35.65
2022-03-20,BOM,38.73
2022-03-20,MAA,36.9
2022-03-20,HYD,37.8
2022-03-20,CCU,35.65
2022-03-21,BOM,38.73
2022-03-21,BLR,35.34
2022-03-21,MAA,36.9
2022-03-21,HYD,37.8
2022-03-21,CCU,35.65
2022-03-22,BOM,38.73
2022-03-22,MAA,36.9
2022-03-22,HYD,37.8
2022-03-23,BOM,38.73
2022-03-23,BLR,35.34
2022-03-23,HYD,37.8
2022-03-23,CCU,35.65
2022-03-24,BOM,38.73
2022-03-24,BLR,35.34
2022-03-24,MAA,36.9
2022-03-24,HYD,37.8
2022-03-24,CCU,35.65
2022-03-25,BOM,38.73
2022-03-25,BLR,35.34
2022-03-25,MAA,36.9
2022-03-25,CCU,35.65
2022-03-26,BOM,38.73
2022-03-26,HYD,37.8
2022-03-27,BOM,38.73
2022-03-27,BLR,35.34
2022-03-27,MAA,36.9
2022-03-27,HYD,37.8
2022-03-27,CCU,35.65
2022-03-28,BOM,38.73
2022-03-28,MAA,36.9
2022-03-28,HYD,37.8
2022-03-28,CCU,35.65
2022-03-29,BOM,38.73
2022-03-29,MAA,36.9
2022-03-29,HYD,37.8
2022-03-29,CCU,35.65
2022-03-30,BOM,38.73
2022-03-30,BLR,35.34
2022-03-30,MAA,36.9
2022-03-30,HYD,37.8
2022-03-30,CCU,35.65
2022-03-31,BOM,38.73
2022-03-31,BLR,35.34
2022-03-31,MAA,36.9
2022-03-31,HYD,37.8
2022-03-31,CCU,35.65
2022-04-01,BOM,38.95
2022-04-01,BLR,35.6
2022-04-01,MAA,37.29
2022-04-01,HYD,38.08
2022-04-01,CCU,36.04
2022-04-02,BOM,38.95
2022-04-02,BLR,35.6
2022-04-02,MAA,37.29
2022-04-02,HYD,38.08
2022-04-02,CCU,36.04
2022-04-03,BOM,38.95
2022-04-03,BLR,35.6
2022-04-03,MAA,37.29
2022-04-03,HYD,38.08
2022-04-04,BOM,38.95
2022-04-04,BLR,35.6
2022-04-04,MAA,37.29
2022-04-04,HYD,38.08
2022-04-04,CCU,36.04
2022-04-05,BOM,38.95
2022-04-05,BLR,35.6
2022-04-05,HYD,38.08
2022-04-05,CCU,36.04
2022-04-06,BOM,38.95
2022-04-06,BLR,35.6
2022-04-06,HYD,38.08
2022-04-06,CCU,36.04
2022-04-07,BOM,38.95
2022-04-07,BLR,35.6
2022-04-07,MAA,37.29
2022-04-07,HYD,38.08
2022-04-07,CCU,36.04
2022-04-08,BOM,38.95
2022-04-08,BLR,35.6
2022-04-08,MAA,37.29
